HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
115.028,Grand Lange 1,WG,black,WG luminous,crocodile,22/18,41.9/11.0,L901.2,no,,2010,2013,"$32,900","$37,300",115.028
115.029,Grand Lange 1,WG,black luminous,WG luminous,croc (black),22/18,41.9/10.0,L901.2,no,,2004,2008,"$22,500","$28,100",115.029
115.031,Grand Lange 1,RG,black/grey,RG,crocodile,22/18,41.9/10.0,L901.2,no,,2003,2008,"$21,100","$28,100",115.031
115.032,Grand Lange 1,RG,silver,RG,croc (reddish),22/18,41.9/11.0,L901.2,no,,2008,2013,"$31,100","$36,100",115.032
115.046,Grand Lange 1,WG,"silver, blue applied markers",blue steel,croc (blue-grey),22/18,41.9/11.0,L901.2,100,For Italian market (2007).,2007,2009,"$31,900","$31,900",115.046
115.047F,Grand Lange 1,RG,ruthenium/cream,RG,croc (reddish),22/18,41.9/11.0,L901.2,25,For 125th Anniversary of Italian retailer Bartorelli (2006).,2009,2009,???,???,115.047F
115.048,Grand Lange 1,WG,black/silver,WG luminous,croc (black),22/18,41.9/11.0,L901.2,25,For retailer Barozzi in Italy. Cases numbered 165731-165755 (2006).,2006,2006,"€27,500","€27,500",115.048
115.321,Grand Lange 1,YG,champagne,YG,bracelet,22/18,41.9/10.0,L901.2,no,,2007,2008,"$42,700","$42,700",115.321
115.325,Grand Lange 1,PT,rhodium,WG,bracelet,22/18,41.9/10.0,L901.2,no,,2007,2008,"$83,500","$83,500",115.325
115.331,Grand Lange 1,RG,black,RG,bracelet,22/18,41.9/10.0,L901.2,no,,2007,2008,"$42,700","$42,700",115.331
115.526,Grand Lange 1,PT,rhodium,WG,bracelet,22/18,41.9/11.0,L901.2,no,,2011,2012,"$114,100","$114,100",115.526
115.532,Grand Lange 1,RG,silver,RG,bracelet,22/18,41.9/11.0,L901.2,no,,2011,2012,"$52,600","$52,600",115.532
116.021,Lange 1 Timezone,YG,champagne,YG,croc (brown),22/18,41.9/11.0,L031.1,no,,2005,2020,"$30,700","$52,900",116.021
116.021M,"Lange 1 Timezone ""Maastricht YG""",YG,champagne,YG,croc (brown),22/18,41.9/11.0,L031.1,10,For 100th anniversary of Dutch retailer Leon Martens. With Dutch engraving on movement (2007).,2007,2009,???,???,116.021M
116.025,Lange 1 Timezone,PT,rhodium,WG,croc (black),22/18,41.9/11.0,L031.1,no,,2005,2020,"$41,200","$64,300",116.025
116.025B,"Lange 1 Timezone ""Singapore PT""",PT,rhodium,WG,croc (black),22/18,41.9/11.0,L031.1,no,Singapore/Samoa/Hawaii on city ring. For retailer Sincere (2005).,2005,2006,???,???,116.025B
116.025M,"Lange 1 Timezone ""Maastricht PT""",PT,rhodium,WG,croc (black),22/18,41.9/11.0,L031.1,10,For 100th anniversary of Dutch retailer Leon Martens. With Dutch engraving on movement (2007).,2007,2009,???,???,116.025M
116.026,"Lange 1 Timezone ""Buenos Aires""",WG,white,blue steel,croc (blue),22/18,41.9/11.0,L031.1,100,"Casebacks numbered ""No. XX.""",2010,2012,"$42,800","$42,800",116.026
116.031B,"Lange 1 Timezone ""Singapore RG/black""",RG,black,RG,croc (brown),22/18,41.9/11.0,L031.1,30,For retailer Sincere. No engraved LE numbers but came with LE certificate. Lange confirmed 30 were made (2006).,2005,2006,???,???,116.031B
116.031C,"Lange 1 Timezone ""Kuala Lumpur""",RG,"black, white-on-black date",RG,croc (brown),22/18,41.9/11.0,L031.1,25,For retailer Sincere. No engraved LE numbers but came with LE certificate. Lange confirmed 25 were made (2006).,2005,2006,???,???,116.031C
116.032,Lange 1 Timezone,RG,silver,RG,croc (reddish),22/18,41.9/11.0,L031.1,no,,2005,2020,"$30,700","$52,900",116.032
116.032B,"Lange 1 Timezone ""Singapore RG/silver""",RG,silver,RG,croc (reddish),22/18,41.9/11.0,L031.1,25,For retailer Sincere (c.2006).,2005,2006,???,???,116.032B
116.032M,"Lange 1 Timezone ""Maastricht RG""",RG,silver,RG,croc (reddish),22/18,41.9/11.0,L031.1,10,For 100th anniversary of Dutch retailer Leon Martens. With Dutch engraving on movement (2007).,2007,2009,???,???,116.032M
116.033,Lange 1 Timezone,RG,grey,RG,croc (reddish),22/18,41.9/11.0,L031.1,no,,2009,2013,"$37,800","$47,700",116.033
116.039,"Lange 1 Timezone ""Luminous""",WG,"silver, luminous",WG luminous,croc (black),22/18,41.9/11.0,L031.1,no,,2012,2020,"$50,100","$52,900",116.039
116.048,"Lange 1 Timezone ""Como""",WG,"silver, luminous",WG luminous,croc (black),22/18,41.9/11.0,L031.1,N/A,"Available to Concorso d'Eleganza guests. Year of attendance (e.g., 2012, 2013) and ""Como"" engraved on caseback. Owner's initials engraved on balance cock.",2014,2015,"$61,800","$61,800",116.048
116.049,"Lange 1 Timezone ""Concorso""",WG,"silver, luminous",WG luminous,croc (black),22/18,41.9/12.5,L031.1,1/yr,"Awarded to Concorso d'Eleganza ""best of show"" winner. Unique engraved half-hunter case. ""Como"" replaces ""Berlin"" on dial. With deployant buckle (began 2012).",2012,2020,see notes,see notes,116.049
116.050,Lange 1 Timezone,HG,silver with blue highlights and HG appliques,HG,croc (dark brown),22/18,41.9/11.0,L031.1,100,Dresden in city ring. Sold only in Lange boutiques.,2016,2018,"$64,300","$64,300",116.050
116.066,Lange 1 Timezone,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),22/18,41.9/11.0,L031.1,25,Engraved balance cock. Commemorates 25th anniversary of the Lange 1. Cases likely numbered 250576-250600.,2019,2020,"$52,800","$52,800",116.066
116.321,Lange 1 Timezone,YG,champagne,YG,bracelet,22/18,41.9/11.0,L031.1,no,,2007,2009,"$48,900","$53,100",116.321
116.325,Lange 1 Timezone,PT,rhodium,WG,bracelet,22/18,41.9/11.0,L031.1,no,,2007,2009,"$90,600","$95,200",116.325
116.332,Lange 1 Timezone,RG,silver,RG,bracelet,22/18,41.9/11.0,L031.1,no,,2007,2009,"$50,600","$53,100",116.332
116.521,Lange 1 Timezone,YG,champagne,YG,bracelet,22/18,41.9/11.0,L031.1,no,,2011,2012,"$61,000","$61,000",116.521
116.525,Lange 1 Timezone,PT,rhodium,WG,bracelet,22/18,41.9/11.0,L031.1,no,,2011,2012,"$124,500","$124,500",116.525
116.532,Lange 1 Timezone,RG,silver,RG,bracelet,22/18,41.9/11.0,L031.1,no,,2011,2012,"$61,200","$61,200",116.532
116.533,Lange 1 Timezone,RG,grey,RG,bracelet,22/18,41.9/11.0,L031.1,no,,2009,2010,"$53,700","$53,700",116.533
117.021,Grand Lange 1,YG,champagne,YG,croc (brown),20/16,40.9/8.8,L095.1,no,,2012,2022,"$39,300","$45,300",117.021
117.025,Grand Lange 1,PT,rhodium,WG,croc (black),20/16,40.9/8.8,L095.1,no,,2012,2023,"$53,200","$65,700",117.025
117.028,Grand Lange 1,WG,black,WG luminous,croc (black),20/16,40.9/8.8,L095.1,no,,2013,2021,"$40,500","$46,100",117.028
117.032,Grand Lange 1,RG,silver,RG,croc (red-brown),20/16,40.9/8.8,L095.1,no,,2012,2021,"$39,300","$46,100",117.032
117.035,"Grand Lange 1 ""Lumen""",PT,semi-transparent/black,WG luminous,croc (black),20/16,40.9/9.8,L095.2,200,,2013,2015,"$70,400","$70,400",117.035
117.040,"Grand Lange 1 ""Dubail""",WG,blue mother-of-pearl,WG,croc (blue),20/16,40.9/8.8,L095.1,25,"For Parisian retailer Dubail. ""Dubail, Lim. XX/25"" engraved on caseback. Price is €43900 with VAT (2017).",2017,2018,"€36,583","€36,583",117.040
117.066,Grand Lange 1,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),20/16,40.9/8.8,L095.1,25,Engraved balance cock. Cases possibly numbered 250626-250650. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$47,900","$47,900",117.066
117.840,"Grand Lange 1 ""Dubail""","WG w/68 brilliant-cut diamond bezel, 1.0 ct",blue mother-of-pearl,WG,croc (blue),20/16,40.9/8.8,L095.1,3,"For Parisian retailer Dubail. ""Dubail, Lim. X/3"" engraved on caseback. Price is €56900 with VAT (2017).",2017,2018,"€47,416","€47,416",117.840
117.841,"Grand Lange 1 ""Dubail""","WG w/48 baguette-cut diamond bezel, 2.8 ct",blue mother-of-pearl,WG,croc (blue),20/16,40.9/9.0,L095.1,3,"For Parisian retailer Dubail. ""Dubail, Lim. X/3"" engraved on caseback. Price is €78800 with VAT (2017).",2017,2018,"€65,666","€65,666",117.841
119.026,"Lange 1 ""Luna Mundi"" (set)",WG,silver,WG,crocodile,22/18,41.9/10.4,L901.8,101,N. hemisphere/Ursa Major. Cases numbered 152501-152601.,2003,2004,"$53,000","$53,000",119.026
119.032,,RG,silver,RG,crocodile,22/18,41.9/10.4,L901.7,,S. hemisphere/Southern Cross. Cases numbered 152301-152401.,2003,2004,,,119.032
136.021,Lange 1 Timezone,YG,champagne,YG,croc (med. brown),22/18,41.9/10.9,L141.1,100,Sold only in Lange boutiques.,2020,2024,"$56,100","$65,500",136.021
136.025,Lange 1 Timezone,PT,rhodium,WG,croc (black),22/18,41.9/10.9,L141.1,no,Sold only in Lange boutiques.,2023,2024,"$74,000","$74,000",136.025
136.029,Lange 1 Timezone,WG,black,WG,croc (dark brown),22/18,41.9/10.9,L141.1,no,,2020,2024,"$52,900","$63,000",136.029
136.032,Lange 1 Timezone,RG,silver,RG,croc (red-brown),22/18,41.9/10.9,L141.1,no,,2020,2024,"$52,900","$63,000",136.032
137.033,Grand Lange 1,RG,grey,RG,croc (red-brown),20/16,41.0/8.2,L095.1,no,,2022,2024,"$48,100","$53,100",137.033
137.038,Grand Lange 1,WG,grey,WG,croc (black),20/16,41.0/8.2,L095.1,no,,2022,2024,"$48,100","$53,100",137.038
139.021,Grand Lange 1 Moonphase,YG,champagne,YG,croc (brown),20/16,41.0/9.5,L095.3,no,,2014,2023,"$48,200","$68,200",139.021
139.025,Grand Lange 1 Moonphase,PT,rhodium,WG,croc (black),20/16,41.0/9.5,L095.3,no,,2014,2023,"$63,000","$75,700",139.025
139.032,Grand Lange 1 Moonphase,RG,silver,RG,croc (red-brown),20/16,41.0/9.5,L095.3,no,,2014,2023,"$48,200","$63,200",139.032
139.035F,"Grand Lange 1 MP ""Lumen""",PT,semi-transparent/black,WG luminous,croc (black),20/16,41.0/9.5,L095.4,200,Sold with deployant buckle.,2016,2017,"$71,300","$71,300",139.035F
139.066,Grand Lange 1 Moonphase,WG,"silver, blue printed markers, blue-on-white date, WG moon disc",blue steel,croc (dark blue w/grey stitching),20/16,41.0/9.5,L095.3,25,Engraved balance cock. Casebacks numbered 250501-250525. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$51,500","$51,500",139.066
151.001,Lange 1,YG,champagne,YG,bracelet,20/16,38.5/10.0,L901.0,no,Solid caseback.,1994,1997,"DM 41,000","$30,100",151.001
151.005,Lange 1,PT,rhodium,WG,bracelet,20/16,38.5/10.0,L901.0,no,Solid caseback.,1995,1997,inquiry,inquiry,151.005
151.007,Lange 1,WG,blue,WG,bracelet,20/16,38.5/10.0,L901.0,no,Solid caseback.,1997,1998,"$31,900","$31,900",151.007
151.021,Lange 1,YG,champagne,YG,bracelet,20/16,38.5/10.0,L901.0,no,,1995,2005,"$30,100","$33,000",151.021
151.025,Lange 1,PT,rhodium,WG,bracelet,20/16,38.5/10.0,L901.0,no,,1995,2002,inquiry,inquiry,151.025
151.027,Lange 1,WG,blue,WG,bracelet,20/16,38.5/10.0,L901.0,no,,1997,1998,"$31,900","$31,900",151.027
151.031,Lange 1,RG,black,RG,bracelet,20/16,38.5/10.0,L901.0,no,,1999,2002,"$30,900","$30,900",151.031
151.032,Lange 1,RG,silver,RG,bracelet,20/16,38.5/10.0,L901.0,no,,1999,2002,"$30,900","$30,900",151.032
151.035,Lange 1,PT,black,WG,bracelet,20/16,38.5/10.0,L901.0,no,,1999,2002,inquiry,inquiry,151.035
160.029,Lange 1,WG,MOP,WG,bracelet,20/16,38.5/10.4,L901.4,no,,2001,2002,"$34,100","$34,100",160.029
181.037,Lange 1 (little),RG,brown guilloche,RG,croc (light brown),19/16,36.8/9.5,L121.1,no,Markers may be oval.,2018,2024,"€32,500","$46,200",181.037
181.038,Lange 1 (little),WG,grey guilloche,WG,croc (light gray),19/16,36.8/9.5,L121.1,no,Markers may be oval.,2018,2024,"€32,500","$46,200",181.038
181.039,"Lange 1 (little) ""Boutique Edition""",WG,purple guilloche,WG,croc (burgundy),19/16,36.8/9.5,L121.1,100,Markers may be oval. Sold only in Lange boutiques.,2018,2021,"€32,500","$39,500",181.039
181.062,Lange 1 (little),PT,"onyx, white-on-black date",WG,croc (black),19/16,36.8/9.98,L121.1,150,Commemorates 30th anniversary of Lange.,2024,2025,"$53,800","$53,800",181.062
181.063,Lange 1 (little),RG,blue,RG,croc (blue),19/16,36.8/9.5,L121.1,150,Commemorates 30th anniversary of Lange.,2024,2025,"$46,200","$46,200",181.063
181.066,Lange 1 (little),WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),19/16,36.8/9.5,L121.1,25,Engraved balance cock. Cases possibly numbered 250526-250550. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$37,600","$37,600",181.066
181.837,Lange 1 (little),RG w/diamonds,brown guilloche,RG,croc (light brown),19/16,36.8/9.5,L121.1,no,,2018,2023,"$45,000","$58,800",181.837
181.838,Lange 1 (little),WG w/diamonds,grey guilloche,WG,croc (light gray),19/16,36.8/9.5,L121.1,no,,2018,2023,"$45,000","$58,800",181.838
181.839,"Lange 1 (little) ""Boutique Edition""",WG w/diamonds,purple guilloche,WG,croc (burgundy),19/16,36.8/9.5,L121.1,see notes,This ref. no. will be part of tle LE of 100 181.039 watches. Sold only in Lange boutiques.,2018,2021,"$45,000","$51,600",181.839
182.030,Little Lange 1 Moonphase,RG,"solid gold, argenté, guillloched, white moon disc",RG,croc (white),19/16,36.8/9.5,L121.2,no,,2017,2024,"€38,500","$52,100",182.030
182.066,Little Lange 1 Moonphase,WG,"silver, blue printed markers, blue-on-white date, WG moon disc",blue steel,croc (dark blue w/grey stitching),19/16,36.8/9.5,L121.2,25,Engraved balance cock. Cases possibly numbered 250676-250700. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$43,500","$43,500",182.066
182.086,Little Lange 1 Moonphase,WG,"dark blue gold flux (goldstone/aventurine), white-on-blue date",WG,croc (dark blue sparkling),19/16,36.8/10.0,L121.2,no,,2021,2024,"$44,900","$54,700",182.086
182.830,Little Lange 1 Moonphase,RG w/diamonds,"solid gold, argenté, guillloched, white moon disc",RG,croc (white),19/16,36.8/9.5,L121.2,no,,2017,2024,"$49,900","$64,700",182.830
182.886,Little Lange 1 Moonphase,WG w/56 diamonds,"dark blue gold flux (goldstone/aventurine), white-on-blue date",WG,croc (dark blue sparkling),19/16,36.8/10.0,L121.2,no,,2021,2024,"$56,600","$67,200",182.886
191.021,Lange 1,YG,champagne,YG,croc (med. brown),20/16,38.5/9.8,L121.1,no,,2015,2024,"$34,700","$50,000",191.021
191.025,Lange 1,PT,rhodium,WG,croc (black),20/16,38.5/9.8,L121.1,no,,2015,2023,"$49,500","$57,300",191.025
191.028,Lange 1,WG,blue,WG,croc (blue),20/16,38.5/9.8,L121.1,no,Announced as being produced only for about 1 year.,2017,2020,"$34,700","$37,200",191.028
191.032,Lange 1,RG,silver,RG,croc (red-brown),20/16,38.5/9.8,L121.1,no,,2015,2024,"$34,700","$44,700",191.032
191.039,Lange 1,WG,silver,WG luminous,croc (black),20/16,38.5/9.8,L121.1,no,,2016,2024,"$34,700","$44,700",191.039
191.062,Lange 1,PT,"onyx, white-on-black date",WG,croc (black),20/16,38.5/10.0,L121.1,300,Commemorates 30th anniversary of Lange.,2024,2025,"$57,400","$57,400",191.062
191.063,Lange 1,RG,blue,RG,croc (blue),20/16,38.5/9.8,L121.1,300,Commemorates 30th anniversary of Lange.,2024,2025,"$50,200","$50,200",191.063
191.066,Lange 1,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),20/16,38.5/10.7,L121.1,250,Engraved cuvette caseback and balance cock. Cases numbered 250251-250500. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$47,900","$47,900",191.066
192.025,Lange 1 Moonphase,PT,rhodium,WG luminous,croc (black),20/16,38.5/10.2,L121.3,no,,2017,2023,"€52,000","$67,300",192.025
192.029,Lange 1 Moonphase,WG,black,WG luminous,croc (black),20/16,38.5/10.2,L121.3,no,,2017,2024,"€39,500","$54,800",192.029
192.032,Lange 1 Moonphase,RG,silver,RG luminous,croc (red-brown),20/16,38.5/10.2,L121.3,no,,2017,2024,"€39,500","$54,800",192.032
192.066,Lange 1 Moonphase,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),20/16,38.5/10.2,L121.3,25,Engraved balance cock. Cases possibly numbered 250601-250625. Commemorates 25th anniversary of the Lange 1. ,2019,2020,"$45,000","$45,000",192.066
320.021,Lange 1 Daymatic,YG,champagne,YG,croc (brown),20/16,39.5/10.4,L021.1,no,,2010,2020,"$37,700","$44,100",320.021
320.025,Lange 1 Daymatic,PT,rhodium,WG,croc (black),20/16,39.5/10.4,L021.1,no,,2010,2020,"$50,900","$58,100",320.025
320.028,Lange 1 Daymatic,WG,blue,WG luminous,croc (blue),20/16,39.5/10.4,L021.1,no,"Announced as being produced only for about 1 year, supposedly about 70 made.",2017,2020,"$43,200","$44,100",320.028
320.032,Lange 1 Daymatic,RG,silver,RG,croc (reddish),20/16,39.5/10.4,L021.1,no,,2010,2021,"$37,700","$44,100",320.032
320.040,"Lange 1 Daymatic ""Tokyo""",WG,"solid gold, argenté, guillloched, blue date numbers and dial markers",blue steel,croc (blue),20/16,39.5/10.4,L102.1,20,For Tokyo boutique 10th anniversary.,2018,2018,"JPY 5,505,000","JPY 5,505,000",320.040
320.047,"Lange 1 Daymatic ""Cuvette""",WG,blue,WG luminous,croc (blue),20/16,39.5/10.4,L021.1,11,For 111th anniversary of Münster retailer Oeding-Erdel. Cases numbered around 24060X. Half-hunter case (2018). ,2018,2018,?,?,320.047
320.066,Lange 1 Daymatic,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),20/16,39.5/10.4,L021.1,25,Engraved balance cock. Commemorates 25th anniversary of the Lange 1. Cases likely numbered 250651-250675.,2019,2020,"$48,900","$48,900",320.066
320.836,Lange 1 Daymatic,PT w/36 baguette diamond bezel,"black, white-on-black date",WG,croc (black),20/16,39.5/10.4,L021.1,2,"Ref. no. 310.836, 320.836, and 405.836 sold as set of 3 in special wood box for retailer Hour Glass Japan's 20th Anniversary (2016).",2016,2016,"$393,000","$393,000",320.836
345.033,Lange 1 Perpetual Calendar,RG,grey,RG,croc (red-brown),22/18,41.9/12.1,L021.3,no,,2021,2024,"$104,500","$126,000",345.033
345.036E,Lange 1 Perpetual Calendar,PT,"black, white-on-black date",WG,croc (black),22/18,41.9/12.1,L021.3,no,Sold only in boutiques.,2023,2024,"$139,600","$139,600",345.036E
345.056,Lange 1 Perpetual Calendar,WG,pink gold,WG,croc (dark brown),22/18,41.9/12.1,L021.3,150,,2021,2023,"$116,000","$142,400",345.056
704.025,Lange 1 Tourbillon,PT,rhodium,WG,crocodile,20/16,38.5/10.0,L961.1,150,Cases numbered 129251-129400. Case #129395 (#145/150) has blue hands.,2001,2002,"$106,000","$106,000",704.025
704.032,Lange 1 Tourbillon,RG,silver,RG,crocodile,20/16,38.5/10.0,L961.1,250,"Cases numbered 129001-129250. Case #129120 (#120/250), movement #16197, has black dial.",2001,2002,"$95,000","$95,000",704.032
704.048F,"Lange 1 Tourbillon ""Handwerkskunst""",PT,"black enamel on WG plate (grand feu champlevé), WG flush markers, solid silver subseconds, grey-on-black date",WG,crocodile (black),20/16,38.5/10.2,L961.3,20,Sold w/deployant buckle. Casebacks numbered 200101-200120. Commemorates the Lange 1's 20th anniversary. Sold only in boutiques.,2014,2015,"$221,700","$221,700",704.048F
720.025,Lange 1 Tourbillon Perpetual Calendar,PT,rhodium,WG,croc (black),22/18,41.9/12.2,L082.1,100,Sold w/deployant buckle.,2012,2015,"$341,900","$357,200",720.025
720.032FE,Lange 1 Tourbillon Perpetual Calendar,RG,silver,RG,croc (red-brown),22/18,41.9/12.2,L082.1,no,Sold w/deployant buckle.,2014,2022,"$332,500","$359,400",720.032FE
720.038FE,Lange 1 Tourbillon Perpetual Calendar,WG,grey,WG,croc (black),22/18,41.9/12.2,L082.1,no,Sold w/deployant buckle.,2016,2022,"$332,500","$359,400",720.038FE
720.048,"Lange 1 Tourbillon Perpetual Calendar ""Handwerkskunst""",PT,"WG, rhodium, hand-engraved, blue-on-white date",blue steel,croc (black),22/18,41.9/12.2,L082.1,15,Sold w/deployant buckle.,2014,2014,"$357,000","$357,000",720.048
720.066,Lange 1 Tourbillon Perpetual Calendar,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),22/18,41.9/12.2,L082.1,25,Engraved balance cock. Commemorates 25th anniversary of the Lange 1. Cases numbered 250551-250575. Sold w/deployant buckle. ,2019,2020,"$335,800","$335,800",720.066
722.050,"Lange 1 Tourbillon ""F.A. Lange Homage 165th Anniversary""",HG,"solid gold, argenté, guillloched",HG,croc (reddish),20/16,38.5/9.8,L961.2,150,#1-21 (or perhaps #1-50) sold to dealers in 3-piece sets with 712.050 and 212.050.,2010,2013,"$171,800","$171,800",722.050
722.066,Lange 1 Tourbillon,WG,"silver, blue printed markers, blue-on-white date",blue steel,croc (dark blue w/grey stitching),20/16,38.5/9.8,L961.4,25,Engraved balance cock. Commemorates 25th anniversary of the Lange 1. Cases numbered 250701-250725. Sold w/deployant buckle. ,2019,2020,"$166,600","$166,600",722.066
802.026X,Lange 1,PT w/48 brilliants,"black w/white-on-black ""Darth"" date",WG,croc (black),20/16,38.5/10.0,L901.0,no,,2006,2006,???,???,802.026X
802.032F,Lange 1,WG w/diamond bezel and lugs,pavé diamonds,WG,croc (black),20/16,38.5/9.8,L901.0,no,"Sold w/deployant buckle. Caseback #127336, movement #17364, sold by retailer Dubail is engraved ""No.1."" Box also has ""No.1"" brass plaque.",2000,2006,"€66,000","€66,000",802.032F
811.061,Lange 1 (Little),PT w/64 brilliants,rhodium guilloche w/blue date numbers and blue dial printing,WG,croc (blue),19/16,36.1/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 101.061 (2014).,2014,2014,"$122,900","$122,900",811.061
811.062,Lange 1 (Little),PT w/64 brilliants,black guilloche,WG,croc (black),19/16,36.1/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 101.062 (2014).,2014,2014,"$122,900","$122,900",811.062
811.063,Lange 1 (Little),WG w/64 brilliants,blue guilloche,WG,croc (blue),19/16,36.1/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 101.063 (2014).,2014,2014,"$100,500","$100,500",811.063
811.064,Lange 1 (Little),RG w/64 brilliants,silver guilloche,RG,croc (red-brown),19/16,36.1/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 101.064 (2014).,2014,2014,"$98,100","$98,100",811.064
811.065,Lange 1 (Little),RG w/64 brilliants,black guilloche,RG,croc (black),19/16,36.1/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 101.065 (2014).,2014,2014,"$98,100","$98,100",811.065
813.029,"Lange 1 (Little) ""Soirée""",WG w/52 brilliants,MOP,WG,croc (ivory),19/16,36.1/10.0,L901.4,20,,2007,2008,???,???,813.029
813.031,"Lange 1 (Little) ""Soirée""",RG w/48 brilliants,MOP white w/pink sapphire bezel,RG,croc (pink),19/16,36.1/10.0,L901.4,no,,2004,2006,???,???,813.031
813.033,"Lange 1 (Little) ""Soirée""",RG w/52 brilliants,MOP white,RG,croc (pink),19/16,36.1/10.0,L901.4,no,,2007,2009,???,???,813.033
813.035,"Lange 1 (Little) ""Soirée""",WG w/52 brilliants,MOP pink,WG,croc (pink),19/16,36.1/10.0,L901.4,20,Clear diamonds.,2007,2008,???,???,813.035
813.036,"Lange 1 (Little) ""Soirée""",WG w/52 brilliants,MOP white (or pink?),WG,croc (pink),19/16,36.1/10.0,L901.4,no,Pink diamonds.,2007,2008,???,???,813.036
813.038,"Lange 1 (Little) ""Soirée""",WG w/52 brilliants,MOP dark,WG,stingray (chestnut),19/16,36.1/10.0,L901.4,100,Sold with deployant buckle.,2006,2007,???,???,813.038
813.042,"Lange 1 (Little) ""Soirée""",WG w/52 brilliants,MOP blue,WG,croc (light blue),19/16,36.1/10.0,L901.4,20,,2007,2008,???,???,813.042
813.043,"Lange 1 (Little) ""Soirée""",RG w/52 brilliants,MOP black,RG,"stingray (chestnut) in 2007, croc (red-brown) in 2014",19/16,36.1/10.0,L901.4,no,Not offered 2008-2013.,2007,2017,"$39,400","$54,600",813.043
813.044,"Lange 1 (Little) ""Soirée""",WG w/72 brilliants,MOP w/63 diamonds,WG,croc (silver),19/16,36.1/10.0,L901.4,no,,2008,2009,"$51,100","$51,100",813.044
813.044B,"Lange 1 (Little) ""Soirée""",WG w/brilliants,MOP w/brilliants,WG,stingray (aqua),19/16,36.1/10.0,L901.4,no,,2008,2009,"$51,100","$51,100",813.044B
813.047,"Lange 1 (Little) ""Soirée""",RG w/52 brilliants,MOP white,RG,croc (white),19/16,36.1/10.0,L901.4,no,,2014,2017,"$54,600","$54,600",813.047
816.025,Lange 1 Timezone,PT w/52 brilliants,rhodium,WG,croc,22/18,41.9/11.0,L031.1,no,Supposedly 2 made.,2005,2007?,?,?,816.025
816.032,Lange 1 Timezone,RG w/52 brilliants,silver,RG,croc (red-brown),22/18,41.9/11.0,L031.1,no,,2011?,2011?,?,?,816.032
817.025,Grand Lange 1,PT w/brilliants,rhodium,WG,crocodile,22/18,41.9/11.0,L901.2,no,Price shown is for 2007-2008.,2006,2010,"$53,900","$53,900",817.025
819.048,Lange 1 (Little) Moonphase,WG w/diamonds,MOP white w/blue printing,WG,croc (silver),20/16,36.8/10.4,L901.9,150,oval-shaped applied markers.,2009,2010,"$52,300","$52,300",819.048
819.049,Lange 1 (Little) Moonphase,WG w/diamonds,MOP dark blue w/white printing,WG,stingray (blue),20/16,36.8/10.4,L901.9,150,oval-shaped applied markers.,2009,2010,"$52,300","$52,300",819.049
852.122,Lange 1,YG w/48 brilliants,champagne,YG,bracelet,20/16,38.5/10.0,L901.0,N/A,"Piece unique, case #110019 movement #55. Originally sold in 1994 by an Austrian Lange dealer as ref. no. 101.001. Lange reassigned ref. no. 851.122 in 1999 when owner had Lange add diamond bezel, sapphire caseback, and bracelet at cost of 701,500 Austrian Schillings (c. €51,000 or $63,750 USD).",1994,1999,see notes,see notes,852.122
